[ 2025-06-20 10:43:57,733 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2025-06-20 10:43:58,238 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2025-06-20 10:43:58,757 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-06-20 10:43:58,760 ] 107 dagshub - INFO - Accessing as vinodullistudy
[ 2025-06-20 10:43:59,313 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/vinodullistudy/e2e_datascience_mlops "HTTP/1.1 200 OK"
[ 2025-06-20 10:43:59,802 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-06-20 10:43:59,805 ] 107 dagshub - INFO - Initialized MLflow to track repo "vinodullistudy/e2e_datascience_mlops"
[ 2025-06-20 10:43:59,805 ] 107 dagshub - INFO - Repository vinodullistudy/e2e_datascience_mlops initialized!
[ 2025-06-20 10:43:59,805 ] 19 root - INFO - Initiate the data ingestion
[ 2025-06-20 10:44:00,164 ] 61 root - INFO - Performed train test split on the dataframe
[ 2025-06-20 10:44:00,164 ] 63 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-20 10:44:00,164 ] 71 root - INFO - Exporting train and test file path.
[ 2025-06-20 10:44:00,166 ] 80 root - INFO - Exported train and test file path.
[ 2025-06-20 10:44:00,166 ] 21 root - INFO - Data Initiation Completed
[ 2025-06-20 10:44:00,169 ] 25 root - INFO - Initiate the data Validation
[ 2025-06-20 10:44:00,173 ] 33 root - INFO - Required number of columns:2
[ 2025-06-20 10:44:00,173 ] 34 root - INFO - Data frame has columns:31
[ 2025-06-20 10:44:00,173 ] 33 root - INFO - Required number of columns:2
[ 2025-06-20 10:44:00,173 ] 34 root - INFO - Data frame has columns:31
[ 2025-06-20 10:44:00,187 ] 27 root - INFO - data Validation Completed
[ 2025-06-20 10:44:00,187 ] 30 root - INFO - data Transformation started
[ 2025-06-20 10:44:00,187 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-20 10:44:00,187 ] 65 root - INFO - Starting data transformation
[ 2025-06-20 10:44:00,192 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-06-20 10:44:00,192 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-20 10:44:00,198 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-20 10:44:00,198 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-20 10:44:00,198 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-20 10:44:00,199 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-20 10:44:00,199 ] 34 root - INFO - data Transformation completed
[ 2025-06-20 10:44:00,199 ] 36 root - INFO - Model Training sstared
