[ 2025-06-19 18:07:38,773 ] 19 root - INFO - Initiate the data ingestion
[ 2025-06-19 18:07:39,122 ] 61 root - INFO - Performed train test split on the dataframe
[ 2025-06-19 18:07:39,122 ] 63 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-19 18:07:39,122 ] 71 root - INFO - Exporting train and test file path.
[ 2025-06-19 18:07:39,125 ] 80 root - INFO - Exported train and test file path.
[ 2025-06-19 18:07:39,125 ] 21 root - INFO - Data Initiation Completed
[ 2025-06-19 18:07:39,130 ] 25 root - INFO - Initiate the data Validation
[ 2025-06-19 18:07:39,132 ] 33 root - INFO - Required number of columns:2
[ 2025-06-19 18:07:39,132 ] 34 root - INFO - Data frame has columns:31
[ 2025-06-19 18:07:39,133 ] 33 root - INFO - Required number of columns:2
[ 2025-06-19 18:07:39,133 ] 34 root - INFO - Data frame has columns:31
[ 2025-06-19 18:07:39,153 ] 27 root - INFO - data Validation Completed
[ 2025-06-19 18:07:39,153 ] 30 root - INFO - data Transformation started
[ 2025-06-19 18:07:39,153 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-19 18:07:39,153 ] 65 root - INFO - Starting data transformation
[ 2025-06-19 18:07:39,156 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-06-19 18:07:39,156 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-19 18:07:39,160 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-19 18:07:39,161 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-19 18:07:39,161 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-19 18:07:39,162 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-19 18:07:39,162 ] 34 root - INFO - data Transformation completed
[ 2025-06-19 18:07:39,162 ] 36 root - INFO - Model Training sstared
